"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2005-01-01T00:00:00","Slovakia","Number","Robbery","1,919",""
"2006-01-01T00:00:00","Slovakia","Number","Robbery","1,594",""
"2007-01-01T00:00:00","Slovakia","Number","Robbery","1,429",""
"2008-01-01T00:00:00","Slovakia","Number","Robbery","1,371",""
"2009-01-01T00:00:00","Slovakia","Number","Robbery","1,358",""
"2010-01-01T00:00:00","Slovakia","Number","Robbery","1,188",""
"2011-01-01T00:00:00","Slovakia","Number","Robbery","851",""
"2012-01-01T00:00:00","Slovakia","Number","Robbery","974",""
"2003-01-01T00:00:00","Finland","Number","Robbery","2,045",""
"2004-01-01T00:00:00","Finland","Number","Robbery","2,017",""
"2005-01-01T00:00:00","Finland","Number","Robbery","1,814",""
"2006-01-01T00:00:00","Finland","Number","Robbery","1,700",""
"2007-01-01T00:00:00","Finland","Number","Robbery","1,784",""
"2008-01-01T00:00:00","Finland","Number","Robbery","1,696",""
"2009-01-01T00:00:00","Finland","Number","Robbery","1,640",""
"2010-01-01T00:00:00","Finland","Number","Robbery","1,508",""
"2011-01-01T00:00:00","Finland","Number","Robbery","1,622",""
"2012-01-01T00:00:00","Finland","Number","Robbery","1,616",""
"2003-01-01T00:00:00","Sweden","Number","Robbery","8,575",""
"2004-01-01T00:00:00","Sweden","Number","Robbery","8,590",""
"2005-01-01T00:00:00","Sweden","Number","Robbery","9,398",""
"2006-01-01T00:00:00","Sweden","Number","Robbery","8,584",""
"2007-01-01T00:00:00","Sweden","Number","Robbery","8,673",""
"2008-01-01T00:00:00","Sweden","Number","Robbery","8,909",""
"2009-01-01T00:00:00","Sweden","Number","Robbery","9,570",""
"2010-01-01T00:00:00","Sweden","Number","Robbery","9,219",""
"2011-01-01T00:00:00","Sweden","Number","Robbery","9,719",""
"2012-01-01T00:00:00","Sweden","Number","Robbery","9,213",""
"2003-01-01T00:00:00","England and Wales","Number","Robbery","103,736",""
"2004-01-01T00:00:00","England and Wales","Number","Robbery","91,010",""
"2005-01-01T00:00:00","England and Wales","Number","Robbery","98,198",""
"2006-01-01T00:00:00","England and Wales","Number","Robbery","101,376",""
"2007-01-01T00:00:00","England and Wales","Number","Robbery","84,773",""
"2008-01-01T00:00:00","England and Wales","Number","Robbery","80,130",""
"2009-01-01T00:00:00","England and Wales","Number","Robbery","75,105",""
"2010-01-01T00:00:00","England and Wales","Number","Robbery","76,189",""
"2011-01-01T00:00:00","England and Wales","Number","Robbery","74,688",""
"2012-01-01T00:00:00","England and Wales","Number","Robbery","65,156",""
"2003-01-01T00:00:00","Scotland","Number","Robbery","4,159",""
"2004-01-01T00:00:00","Scotland","Number","Robbery","3,736",""
"2005-01-01T00:00:00","Scotland","Number","Robbery","3,553",""
"2006-01-01T00:00:00","Scotland","Number","Robbery","3,578",""
"2007-01-01T00:00:00","Scotland","Number","Robbery","3,064",""
"2008-01-01T00:00:00","Scotland","Number","Robbery","2,963",""
"2009-01-01T00:00:00","Scotland","Number","Robbery","2,496",""
"2010-01-01T00:00:00","Scotland","Number","Robbery","2,557",""
"2011-01-01T00:00:00","Scotland","Number","Robbery","2,244",""
"2012-01-01T00:00:00","Scotland","Number","Robbery","1,832",""
"2003-01-01T00:00:00","Northern Ireland (UK)","Number","Robbery","1,973",""
"2004-01-01T00:00:00","Northern Ireland (UK)","Number","Robbery","1,487",""
"2005-01-01T00:00:00","Northern Ireland (UK)","Number","Robbery","1,744",""
"2006-01-01T00:00:00","Northern Ireland (UK)","Number","Robbery","1,574",""
"2007-01-01T00:00:00","Northern Ireland (UK)","Number","Robbery","1,143",""
"2008-01-01T00:00:00","Northern Ireland (UK)","Number","Robbery","1,283",""
