Id,Country,City,Latitude,Longitude,Altitude,"position.minLat","position.maxLat","position.minLong","position.maxLong","position.lat","position.long","position.Altitude"
88,Albania,Vlore,"40.4666667","19.4897213","58.0","40.461666699999995","40.4716667","19.4847213","19.4947213","40.4666667","19.4897213","58.0"
89,Albania,Shkoder,"42.0682829","19.5125771","17.0","42.0632829","42.0732829","19.507577100000002","19.5175771","42.0682829","19.5125771","17.0"
90,Albania,"Fier-Cifci","40.7166667","19.5666676","7.0","40.711666699999995","40.7216667","19.5616676","19.571667599999998","40.7166667","19.5666676","7.0"
91,Albania,Korce,"40.6186111","20.7808342","876.0","40.6136111","40.623611100000005","20.775834200000002","20.7858342","40.6186111","20.7808342","876.0"
92,Albania,Berat,"40.7058333","19.9522228","69.0","40.7008333","40.710833300000004","19.947222800000002","19.9572228","40.7058333","19.9522228","69.0"
93,Albania,Lushnje,"40.9419444","19.7049999","81.0","40.936944399999994","40.9469444","19.6999999","19.7099999","40.9419444","19.7049999","81.0"
94,Albania,Kavaje,"41.1855556","19.5569439","10.0","41.1805556","41.1905556","19.5519439","19.5619439","41.1855556","19.5569439","10.0"
95,Albania,Lac,"41.6355556","19.7130547","89.0","41.6305556","41.640555600000006","19.7080547","19.7180547","41.6355556","19.7130547","89.0"
96,Albania,Gjirokaster,"40.0758333","20.1388893","213.0","40.0708333","40.0808333","20.1338893","20.143889299999998","40.0758333","20.1388893","213.0"
97,Albania,"Patos Fshat","40.6427778","19.6508331","118.0","40.637777799999995","40.6477778","19.6458331","19.6558331","40.6427778","19.6508331","118.0"
98,Albania,Kruje,"41.5091667","19.7927780","870.0","41.5041667","41.514166700000004","19.787778","19.797777999999997","41.5091667","19.792778","870.0"
99,Albania,Lezhe,"41.7836111","19.6436119","82.0","41.7786111","41.788611100000004","19.6386119","19.6486119","41.7836111","19.6436119","82.0"
100,Albania,Kucove,"40.8002778","19.9166660","95.0","40.7952778","40.805277800000006","19.911666","19.921666","40.8002778","19.916666","95.0"
101,Albania,Kukes,"42.0769444","20.4219437","339.0","42.0719444","42.081944400000005","20.4169437","20.4269437","42.0769444","20.4219437","339.0"
102,Albania,Burrel,"41.6102778","20.0088882","196.0","41.605277799999996","41.6152778","20.003888200000002","20.0138882","41.6102778","20.0088882","196.0"
103,Albania,Sarande,"39.8755556","20.0052776","170.0","39.870555599999996","39.8805556","20.0002776","20.0102776","39.8755556","20.0052776","170.0"
104,Albania,Peshkopi,"41.6850000","20.4288883","718.0","41.68","41.690000000000005","20.4238883","20.4338883","41.685","20.4288883","718.0"
105,Albania,Cerrik,"41.0316667","19.9758339","70.0","41.0266667","41.036666700000005","19.970833900000002","19.9808339","41.0316667","19.9758339","70.0"
106,Albania,Shijak,"41.3455556","19.5672226","57.0","41.340555599999995","41.3505556","19.562222600000002","19.5722226","41.3455556","19.5672226","57.0"
107,Albania,Corovode,"40.5041667","20.2272224","539.0","40.499166699999996","40.5091667","20.2222224","20.232222399999998","40.5041667","20.2272224","539.0"
108,Albania,"Librazhd-Qender","41.1969444","20.3355560","436.0","41.1919444","41.2019444","20.330556","20.340556","41.1969444","20.335556","436.0"
109,Albania,Tepelene,"40.2958333","20.0191669","112.0","40.290833299999996","40.3008333","20.0141669","20.024166899999997","40.2958333","20.0191669","112.0"
